<역별 승하차인원>,,,,,,,,,,,,,,,,,,,,,
전체,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~01
,하차," 3,240 "," 22,661 "," 43,932 "," 101,326 "," 100,792 "," 82,858 "," 63,245 "," 71,320 "," 69,754 "," 72,399 "," 76,557 "," 82,631 "," 98,912 "," 147,679 "," 149,213 "," 105,187 "," 103,342 "," 111,349 "," 79,080 "," 38,552 "
봉 천,승차," 22,450 "," 37,004 "," 96,528 "," 131,923 "," 71,549 "," 40,735 "," 34,986 "," 35,256 "," 36,378 "," 30,565 "," 30,480 "," 34,282 "," 35,118 "," 39,465 "," 29,930 "," 21,819 "," 20,502 "," 18,532 "," 7,619 "," 1,267 "
,하차," 2,439 "," 8,502 "," 18,893 "," 36,253 "," 30,128 "," 22,517 "," 21,275 "," 23,269 "," 26,205 "," 27,624 "," 33,765 "," 39,524 "," 46,367 "," 72,893 "," 75,242 "," 53,063 "," 51,218 "," 58,329 "," 37,563 "," 11,686 "
신 림,승차," 49,677 "," 96,328 "," 280,681 "," 371,548 "," 188,839 "," 108,599 "," 98,333 "," 100,468 "," 101,874 "," 93,288 "," 93,115 "," 100,842 "," 112,757 "," 126,115 "," 101,544 "," 82,068 "," 80,750 "," 78,866 "," 45,249 "," 6,420 "
,하차," 4,919 "," 27,335 "," 50,975 "," 85,383 "," 74,558 "," 63,441 "," 64,864 "," 75,674 "," 85,019 "," 89,791 "," 99,229 "," 118,984 "," 145,705 "," 236,677 "," 267,534 "," 189,693 "," 175,710 "," 186,677 "," 132,661 "," 36,759 "
신대방,승차," 25,848 "," 35,400 "," 88,108 "," 117,093 "," 72,224 "," 40,099 "," 33,838 "," 33,060 "," 34,485 "," 31,694 "," 29,521 "," 31,013 "," 34,315 "," 42,606 "," 32,720 "," 25,905 "," 22,580 "," 17,666 "," 8,015 "," 1,095 "
,하차," 2,358 "," 9,862 "," 19,012 "," 42,037 "," 30,573 "," 24,051 "," 22,172 "," 25,374 "," 27,656 "," 29,710 "," 32,985 "," 39,407 "," 47,998 "," 74,633 "," 76,946 "," 55,444 "," 57,378 "," 70,112 "," 44,049 "," 11,090 "
구로공단,승차," 48,983 "," 61,671 "," 154,415 "," 195,869 "," 119,292 "," 75,166 "," 67,041 "," 67,104 "," 76,240 "," 69,687 "," 69,908 "," 76,528 "," 87,879 "," 170,151 "," 131,854 "," 84,367 "," 77,307 "," 61,009 "," 31,858 "," 4,378 "
,하차," 7,406 "," 26,232 "," 75,338 "," 264,425 "," 117,729 "," 63,300 "," 56,011 "," 57,475 "," 66,722 "," 68,092 "," 71,229 "," 76,339 "," 92,481 "," 147,576 "," 149,136 "," 100,279 "," 98,569 "," 121,058 "," 77,524 "," 19,240 "
대 림,승차," 45,296 "," 46,949 "," 112,005 "," 139,157 "," 84,940 "," 51,405 "," 41,685 "," 42,811 "," 44,948 "," 41,170 "," 39,705 "," 41,226 "," 46,992 "," 71,280 "," 51,455 "," 37,871 "," 35,359 "," 28,213 "," 15,251 "," 2,316 "
,하차," 4,057 "," 15,780 "," 29,578 "," 82,404 "," 42,944 "," 34,448 "," 34,309 "," 36,846 "," 39,760 "," 40,872 "," 45,195 "," 53,986 "," 65,830 "," 106,878 "," 103,918 "," 70,605 "," 72,451 "," 91,175 "," 55,798 "," 15,144 "
신도림,승차," 40,919 "," 60,823 "," 173,956 "," 177,169 "," 104,970 "," 73,860 "," 66,900 "," 69,134 "," 70,600 "," 65,129 "," 66,122 "," 71,471 "," 88,781 "," 112,580 "," 86,424 "," 69,792 "," 70,386 "," 58,514 "," 28,791 "," 3,693 "
,하차," 5,615 "," 31,553 "," 47,463 "," 108,029 "," 73,459 "," 57,026 "," 47,088 "," 53,900 "," 62,201 "," 62,990 "," 67,421 "," 77,151 "," 94,204 "," 136,491 "," 141,127 "," 98,220 "," 92,776 "," 104,428 "," 87,298 "," 46,582 "
문 래,승차," 4,543 "," 14,806 "," 47,418 "," 54,208 "," 32,168 "," 25,255 "," 24,239 "," 25,419 "," 26,368 "," 25,118 "," 26,167 "," 28,764 "," 35,596 "," 67,366 "," 45,359 "," 29,246 "," 27,301 "," 23,206 "," 10,706 "," 1,490 "
,하차," 1,577 "," 8,667 "," 26,745 "," 104,998 "," 40,537 "," 21,784 "," 20,057 "," 22,541 "," 25,645 "," 25,424 "," 25,407 "," 26,640 "," 31,637 "," 40,394 "," 42,472 "," 29,121 "," 26,598 "," 25,963 "," 18,151 "," 5,358 "
영등포구,승차," 7,589 "," 20,357 "," 54,103 "," 59,182 "," 40,734 "," 31,614 "," 30,729 "," 30,415 "," 34,554 "," 34,359 "," 34,524 "," 33,717 "," 43,856 "," 72,489 "," 45,138 "," 30,117 "," 28,377 "," 22,840 "," 11,216 "," 1,613 "
,하차," 2,346 "," 14,117 "," 31,221 "," 88,766 "," 46,441 "," 27,449 "," 26,266 "," 28,243 "," 32,786 "," 32,609 "," 31,253 "," 34,105 "," 39,746 "," 49,443 "," 50,773 "," 35,183 "," 33,399 "," 33,825 "," 24,598 "," 7,752 "
